Column,Frequency,Percentage,Files_Count,Sample_Files
AGE,46,92.0,46,"nc-est2019-agesex-res.csv; nc-est2018-agesex-res.csv; sc-est2022-agesex-civ.csv"
UNIVERSE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
MONTH,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
YEAR,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
TOT_POP,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
TOT_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
TOT_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
WA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
WA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
BA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
BA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
IA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
IA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
AA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
AA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
TOM_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
TOM_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
WAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
WAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
BAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
BAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
IAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
IAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
AAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
AAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NH_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NH_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHWA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHWA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHBA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHBA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHIA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHIA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHAA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHAA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHNA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHNA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHTOM_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHTOM_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHWAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHWAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHBAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHBAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHIAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHIAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHAAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHAAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHNAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
NHNAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
H_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
H_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HWA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HWA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HBA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HBA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HIA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HIA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HAA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HAA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HNA_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HNA_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HTOM_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HTOM_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HWAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HWAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HBAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HBAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HIAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HIAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HAAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HAAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HNAC_MALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
HNAC_FEMALE,40,80.0,40,"nc-est2022-alldata-n-file06.csv; nc-est2022-alldata-p-file02.csv; nc-est2022-alldata-p-file07.csv"
SEX,6,12.0,6,"nc-est2019-agesex-res.csv; nc-est2018-agesex-res.csv; sc-est2022-agesex-civ.csv"
SUMLEV,6,12.0,6,"co-est2018-alldata.csv; sc-est2022-agesex-civ.csv; sc-est2022-alldata6.csv"
